"声優","出演数","メイン","メイン率"
"雨蘭咲木子","34","0","0.0"
"宇和川恵美","34","0","0.0"
"大前茜","34","1","0.029411764705882353"
"小粥よう子","34","0","0.0"
"陰山真寿美","34","0","0.0"
"菊地祥子","34","0","0.0"
"庄子裕衣","34","3","0.08823529411764706"
"杉浦奈保子","34","0","0.0"
"田頭里奈","34","0","0.0"
"富坂晶","34","3","0.08823529411764706"
"中司ゆう花","34","1","0.029411764705882353"
"浜崎奈々","34","1","0.029411764705882353"
"引田有美","34","2","0.058823529411764705"
"樋口智恵子","34","7","0.20588235294117646"
"ひと美","34","10","0.29411764705882354"
"日比野朱里","34","0","0.0"
"渕上舞","34","12","0.35294117647058826"
"前田敏子","34","0","0.0"
"松嵜麗","34","5","0.14705882352941177"
"美名","34","6","0.17647058823529413"
"水瀬いのり","34","17","0.5"
"望月久代","34","7","0.20588235294117646"
"山下亜矢香","34","0","0.0"
"岡田栄美","33","0","0.0"
"片貝薫","33","0","0.0"
"工藤晴香","33","9","0.2727272727272727"
"橋本ちなみ","33","2","0.06060606060606061"
"羽村京子","33","0","0.0"
"深水由美","33","0","0.0"
"松金よね子","33","0","0.0"
"森谷里美","33","0","0.0"
"菊池志穂","32","2","0.0625"
"北西純子","32","0","0.0"
"小岩井ことり","32","10","0.3125"
"小暮英麻","32","2","0.0625"
"小堀友里絵","32","1","0.03125"
"近藤高子","32","0","0.0"
"斉木美帆","32","0","0.0"
"佐藤朱","32","2","0.0625"
"高橋李依","32","7","0.21875"
"田口宏子","32","8","0.25"
"冨樫かずみ","32","1","0.03125"
"林玉緒","32","1","0.03125"
"MAKO","32","11","0.34375"
"矢口アサミ","32","6","0.1875"
"芳野日向子","32","0","0.0"
"浅野るり","31","0","0.0"
"雨宮天","31","16","0.5161290322580645"
"岩居由希子","31","5","0.16129032258064516"
"大空直美","31","5","0.16129032258064516"
"川名真知子","31","1","0.03225806451612903"
"菊池いづみ","31","0","0.0"
"黒河奈美","31","4","0.12903225806451613"
"幸田直子","31","0","0.0"
"貴家堂子","31","4","0.12903225806451613"
"藏合紗恵子","31","1","0.03225806451612903"
"高野直子 (声優)","31","7","0.22580645161290322"
"田中あいみ","31","3","0.0967741935483871"
"津田延代","31","0","0.0"
"寺谷美香","31","0","0.0"
"天神有海","31","3","0.0967741935483871"
"梨羽侑里","31","0","0.0"
"葉月絵理乃","31","8","0.25806451612903225"
"日高奈留美","31","0","0.0"
"日野まり","31","0","0.0"
"松谷彼哉","31","3","0.0967741935483871"
"宮沢きよこ","31","0","0.0"
"石松千恵美","30","1","0.03333333333333333"
"小見川千明","30","12","0.4"
"木戸衣吹","30","14","0.4666666666666667"
"小西寛子","30","6","0.2"
"鮭延未可","30","0","0.0"
"佐藤しのぶ (声優)","30","0","0.0"
"椎名へきる","30","9","0.3"
"嶋村カオル","30","0","0.0"
"荘司美代子","30","0","0.0"
"鈴木弘子","30","0","0.0"
"鈴木麻里子","30","3","0.1"
"立野香菜子","30","2","0.06666666666666667"
"タルタエリ","30","0","0.0"
"CHIKO","30","0","0.0"
"藤堂真衣","30","0","0.0"
"時田光","30","0","0.0"
"豊島まさみ","30","0","0.0"
"中島愛 (声優)","30","9","0.3"
"埴岡由紀子","30","0","0.0"
"東さおり","30","0","0.0"
"古木のぞみ","30","4","0.13333333333333333"
"水野麻里絵","30","6","0.2"
"石川綾乃","29","0","0.0"
"内川藍維","29","6","0.20689655172413793"
"大塚智子","29","0","0.0"
"大和田仁美","29","2","0.06896551724137931"
"久保ユリカ","29","7","0.2413793103448276"
"古城門志帆","29","3","0.10344827586206896"
"小堀幸","29","1","0.034482758620689655"
"佐々木瑶子","29","0","0.0"
"鈴鹿千春","29","0","0.0"
"高橋美紀","29","2","0.06896551724137931"
"武田華","29","0","0.0"
"田中真奈美","29","2","0.06896551724137931"
"津々見沙月","29","0","0.0"
"出口佳代","29","0","0.0"
"東條加那子","29","0","0.0"
"鍋井まき子","29","0","0.0"
"藤井佳代子","29","0","0.0"
"藤村知可","29","2","0.06896551724137931"
"南杏子","29","0","0.0"
"森下由樹子","29","0","0.0"
"やなせなつみ","29","5","0.1724137931034483"
"柳瀬なつみ","29","5","0.1724137931034483"
"吉田聖子","29","3","0.10344827586206896"
"相田さやか","28","4","0.14285714285714285"
"愛美","28","10","0.35714285714285715"
"池本小百合","28","0","0.0"
"大原桃子","28","4","0.14285714285714285"
"奥島和美","28","0","0.0"
"倖月美和","28","1","0.03571428571428571"
"斎藤恵理","28","0","0.0"
"塩山由佳","28","0","0.0"
"手塚ちはる","28","0","0.0"
"照井春佳","28","4","0.14285714285714285"
"富樫美鈴","28","11","0.39285714285714285"
"中尾友紀","28","0","0.0"
"中沢みどり","28","0","0.0"
"鳴海杏子","28","11","0.39285714285714285"
"羽鳥靖子","28","0","0.0"
"平井道子","28","1","0.03571428571428571"
"藤田麻美","28","0","0.0"
"ブリドカットセーラ恵美","28","7","0.25"
"本多真梨子","28","7","0.25"
"宮本佳那子","28","6","0.21428571428571427"
"柳沢真由美","28","0","0.0"
