"声優","出演数","メイン","メイン率"
"千原江理子","1","0","0.0"
"塚田恵美子","1","0","0.0"
"つかもと景子","1","0","0.0"
"月野原みわ","2","0","0.0"
"辻香織 (声優)","11","0","0.0"
"津島瑞穂","1","0","0.0"
"津田延代","3","0","0.0"
"津田真澄","4","0","0.0"
"津田沼真利","1","0","0.0"
"土谷百合香","6","0","0.0"
"都築香弥子","3","0","0.0"
"津々見沙月","9","0","0.0"
"綱掛裕美","2","0","0.0"
"椿理沙","1","0","0.0"
"坪井章子","6","0","0.0"
"津村まこと","22","0","0.0"
"出口佳代","9","0","0.0"
"手塚ちはる","17","0","0.0"
"寺内よりえ","7","0","0.0"
"寺瀬今日子","3","0","0.0"
"時田光","2","0","0.0"
"徳永愛","1","0","0.0"
"戸田亜紀子","3","0","0.0"
"百々麻子","29","0","0.0"
"巴菁子","33","0","0.0"
"友川まり","4","0","0.0"
"友近恵子","5","0","0.0"
"友永朱音","6","0","0.0"
"豊島まさみ","18","0","0.0"
"豊嶋真千子","19","0","0.0"
"頓宮恭子","8","0","0.0"
"中友子","27","0","0.0"
"仲尾あづさ","12","0","0.0"
"中尾友紀","11","0","0.0"
"中川玲","11","0","0.0"
"中川里江","1","0","0.0"
"永迫舞","3","0","0.0"
"中沢みどり","22","0","0.0"
"中澤やよい","16","0","0.0"
"中島沙樹","2","0","0.0"
"中島千里","4","0","0.0"
"中谷ゆみ","5","0","0.0"
"中西妙子","5","0","0.0"
"仲西環","2","0","0.0"
"中西裕美子","10","0","0.0"
"中野聖子","3","0","0.0"
"長畑由美","2","0","0.0"
"長浜満里子","11","0","0.0"
"中村紀子子","2","0","0.0"
"中村千絵","4","0","0.0"
"中村尚子","15","0","0.0"
"中村ひろみ","6","0","0.0"
"中村万里","7","0","0.0"
"中山依里子","1","0","0.0"
"永吉ユカ","8","0","0.0"
"永吉由佳","8","0","0.0"
"七海入歌","3","0","0.0"
"波岡晶子","5","0","0.0"
"並木のり子","18","0","0.0"
"鳴海エリカ","1","0","0.0"
"南場千絵子","6","0","0.0"
"二木静美","4","0","0.0"
"仁後真耶子","1","0","0.0"
"西宏子","8","0","0.0"
"西川宏美","15","0","0.0"
"西口有香","3","0","0.0"
"丹羽紫保里","12","0","0.0"
"沼波輝枝","6","0","0.0"
"沼田芙由美","2","0","0.0"
"野川さくら","2","0","0.0"
"野口早苗","1","0","0.0"
"野沢由香里","4","0","0.0"
"能登麻美子","7","0","0.0"
"野中藍","1","0","0.0"
"NOBUKO","17","0","0.0"
"野村真弓","6","0","0.0"
"野本絵理","18","0","0.0"
"萩森じゅん子","21","0","0.0"
"萩原えみこ","4","0","0.0"
"萩原恵美子","4","0","0.0"
"馬田賀弥子","18","0","0.0"
"羽鳥靖子","6","0","0.0"
"花形恵子","4","0","0.0"
"花咲きよみ","1","0","0.0"
"埴岡由紀子","6","0","0.0"
"馬場澄江","10","0","0.0"
"羽吹梨里","1","0","0.0"
"浜野ゆうき","5","0","0.0"
"はやみけい","18","0","0.0"
"原ミユキ","2","0","0.0"
"榛田安芸","1","0","0.0"
"半谷きみえ","2","0","0.0"
"比嘉久美子","3","0","0.0"
"日笠山亜美","3","0","0.0"
"東さおり","13","0","0.0"
"疋田由香里","4","0","0.0"
"飛志津ゆかり","7","0","0.0"
"日高奈留美","21","0","0.0"
"一柳みる","2","0","0.0"
"ひと美","6","0","0.0"
"火野カチ子","2","0","0.0"
"日野由利加","16","0","0.0"
"日比野朱里","10","0","0.0"
"百武彰子","3","0","0.0"
"氷青","9","0","0.0"
"兵藤まこ","25","0","0.0"
"平田宏美","1","0","0.0"
"平辻朝子","5","0","0.0"
"平野文","4","0","0.0"
"弘中くみ子","11","0","0.0"
"深水由美","20","0","0.0"
"福絵美子","3","0","0.0"
"福井裕佳梨","1","0","0.0"
"福圓美里","1","0","0.0"
"福島桂子","2","0","0.0"
